AGE,PLAYER_NAME,DLEBRON,DDRIP,DDARKO,DBPM,CraftedDPM,TEAM_ABBREVIATION,season,source,POSITION
34,Draymond Green,2.4,3.0,3.4,2.8,4.5 100%,GSW,2023-24,craftednba,PF
21,Victor Wembanyama,2.4,2.7,2.1,2.9,4 100%,SAS,2023-24,craftednba,C
30,Alex Caruso,1.6,2.0,2.3,3.9,3.9 100%,OKC,2023-24,craftednba,PG
32,Rudy Gobert,1.9,2.6,3.5,1.3,3.8 99%,MIN,2023-24,craftednba,C
30,Jusuf Nurkić,1.6,1.1,3.0,0.9,3.2 99%,CHA,2023-24,craftednba,C
22,Chet Holmgren,1.7,2.2,2.7,1.9,3.2 99%,OKC,2023-24,craftednba,C
27,Ivica Zubac,1.8,1.3,3.0,0.8,3.1 99%,LAC,2023-24,craftednba,C
31,Anthony Davis,1.6,1.6,2.0,1.5,3.1 98%,DAL,2023-24,craftednba,C
26,Isaiah Hartenstein,2.0,1.7,2.9,2.6,3 99%,OKC,2023-24,craftednba,C
27,Jonathan Isaac,2.6,1.1,2.3,1.8,3 99%,ORL,2023-24,craftednba,PF
30,Kris Dunn,2.1,2.3,1.9,3.4,2.9 98%,LAC,2023-24,craftednba,PG
25,Goga Bitadze,2.6,1.2,2.0,2.8,2.8 98%,ORL,2023-24,craftednba,C
36,Brook Lopez,0.9,0.9,2.7,0.4,2.7 96%,MIL,2023-24,craftednba,C
26,Herbert Jones,0.2,2.1,1.7,0.2,2.7 97%,NOP,2023-24,craftednba,SF
22,Ausar Thompson,1.6,2.3,1.2,2.5,2.6 97%,DET,2023-24,craftednba,SF
23,Tari Eason,1.6,1.0,1.7,2.6,2.5 96%,HOU,2023-24,craftednba,PF
20,Dereck Lively II,1.6,2.0,1.5,2.2,2.5 97%,DAL,2023-24,craftednba,C
25,Paul Reed,2.7,0.9,1.6,4.0,2.5 97%,DET,2023-24,craftednba,PF
22,Amen Thompson,1.8,2.3,1.1,2.6,2.4 98%,HOU,2023-24,craftednba,SF
29,Luke Kornet,1.6,0.8,1.9,1.7,2.4 95%,BOS,2023-24,craftednba,C
29,Jakob Poeltl,1.2,1.3,2.5,1.3,2.4 96%,TOR,2023-24,craftednba,C
27,Robert Williams III,3.1,1.2,2.0,3.2,2.4 96%,POR,2023-24,craftednba,C
27,Matisse Thybulle,1.5,1.7,1.6,5.1,2.3 98%,POR,2023-24,craftednba,SF
28,Dean Wade,0.9,0.8,1.4,1.2,2.3 95%,CLE,2023-24,craftednba,PF
30,Giannis Antetokounmpo,0.9,1.3,2.1,2.5,2.3 96%,MIL,2023-24,craftednba,PF
26,Jarrett Allen,1.8,1.4,2.1,1.2,2.3 94%,CLE,2023-24,craftednba,C
29,Kristaps Porziņģis,1.0,1.6,1.7,1.2,2.3 96%,BOS,2023-24,craftednba,C
23,Evan Mobley,1.7,1.4,1.0,1.5,2.2 94%,CLE,2023-24,craftednba,PF
25,Keon Ellis,1.4,2.5,1.3,2.0,2.2 95%,SAC,2023-24,craftednba,SG
30,Joel Embiid,-0.4,1.3,2.2,-0.3,2.2 95%,PHI,2023-24,craftednba,C
38,Al Horford,1.2,0.9,1.9,1.1,2.2 94%,BOS,2023-24,craftednba,C
20,Donovan Clingan,2.2,2.2,1.0,1.4,2.2 97%,POR,2023-24,craftednba,C
33,Dwight Powell,1.3,0.8,2.6,1.5,2.2 92%,DAL,2023-24,craftednba,C
23,Jalen Suggs,0.5,1.9,1.7,1.3,2.2 93%,ORL,2023-24,craftednba,PG
29,Nikola Jokić,0.5,1.5,1.3,3.3,2.2 93%,DEN,2023-24,craftednba,C
25,Jaren Jackson Jr.,0.8,1.2,1.8,0.8,2.1 93%,MEM,2023-24,craftednba,PF
24,Jaxson Hayes,1.6,1.6,1.4,1.3,2.1 92%,LAL,2023-24,craftednba,C
29,Jae'Sean Tate,0.4,0.8,1.4,1.4,2.1 93%,HOU,2023-24,craftednba,PF
28,Kevon Looney,1.7,0.7,1.4,1.3,2.1 95%,GSW,2023-24,craftednba,C
23,Isaiah Stewart,2.0,0.7,1.2,2.1,2.1 94%,DET,2023-24,craftednba,C
26,Mitchell Robinson,1.1,0.5,2.0,1.8,2.1 93%,NYK,2023-24,craftednba,C
36,Nicolas Batum,1.3,0.6,1.5,2.0,2.1 92%,LAC,2023-24,craftednba,SF
27,Bam Adebayo,1.2,1.7,1.4,1.0,2 93%,MIA,2023-24,craftednba,C
26,Josh Okogie,0.7,1.2,1.9,1.6,2 94%,CHA,2023-24,craftednba,SF
32,Delon Wright,0.4,2.2,1.2,1.4,2 92%,NYK,2023-24,craftednba,PG
30,Fred VanVleet,0.7,1.2,1.4,1.3,1.9 91%,HOU,2023-24,craftednba,PG
25,Wendell Carter Jr.,1.1,1.5,1.4,0.9,1.9 91%,ORL,2023-24,craftednba,C
24,Toumani Camara,0.5,1.4,1.2,0.8,1.9 92%,POR,2023-24,craftednba,PF
27,Lonzo Ball,0.8,1.4,1.4,1.7,1.9 91%,CHI,2023-24,craftednba,PG
22,Mouhamed Gueye,2.1,2.3,1.0,1.0,1.8 91%,ATL,2023-24,craftednba,C
24,Scotty Pippen Jr.,0.7,1.7,1.2,1.8,1.8 90%,MEM,2023-24,craftednba,PG
31,Kentavious Caldwell-Pope,0.8,0.7,1.8,1.6,1.8 91%,ORL,2023-24,craftednba,SG
23,Jalen Johnson,0.9,1.1,1.1,1.4,1.8 90%,ATL,2023-24,craftednba,PF
21,Dyson Daniels,1.5,1.9,0.7,2.6,1.8 91%,ATL,2023-24,craftednba,SG
31,Steven Adams,0.4,0.5,2.8,0.3,1.7 90%,HOU,2023-24,craftednba,C
22,Jaylin Williams,1.4,1.6,0.6,2.7,1.7 90%,OKC,2023-24,craftednba,C
33,Kawhi Leonard,0.1,1.8,1.6,0.6,1.7 90%,LAC,2023-24,craftednba,SF
