AGE,VersatilityRating,MatchupDifficulty,CraftedDPM,PLAYER_NAME,TEAM_ABBREVIATION,POSITION,source,season
31,100.0,84.5,1.6 87%,Dorian Finney-Smith,LAL,SF,craftednba,2024-25
25,99.8,69.3,1.7 87%,Jarred Vanderbilt,LAL,PF,craftednba,2024-25
29,99.6,83.5,0.5 70%,Dillon Brooks,HOU,SF,craftednba,2024-25
29,99.3,37.0,2.1 93%,Jae'Sean Tate,HOU,PF,craftednba,2024-25
21,99.1,88.0,-0.3 44%,Jeremy Sochan,SAS,PF,craftednba,2024-25
24,98.9,54.7,-0.2 46%,Kessler Edwards,DAL,SF,craftednba,2024-25
23,98.7,55.9,1.2 81%,Jalen Williams,OKC,SG,craftednba,2024-25
23,98.4,63.1,2.5 96%,Tari Eason,HOU,PF,craftednba,2024-25
29,98.2,75.3,1.8 88%,Cody Martin,PHX,SF,craftednba,2024-25
22,98.0,47.7,-0.1 50%,Olivier-Maxence Prosper,DAL,PF,craftednba,2024-25
20,97.8,21.9,0.9 74%,Jordan Walsh,BOS,SF,craftednba,2024-25
30,97.5,39.0,1.7 89%,Kenrich Williams,OKC,SF,craftednba,2024-25
23,97.3,56.5,0.2 61%,Justin Champagnie,WAS,SF,craftednba,2024-25
26,97.1,50.2,0.7 72%,Jayson Tatum,BOS,SF,craftednba,2024-25
36,96.9,49.8,2.1 92%,Nicolas Batum,LAC,SF,craftednba,2024-25
29,96.6,72.2,-0.6 31%,Kelly Oubre Jr.,PHI,SF,craftednba,2024-25
27,96.4,66.2,0 50%,Naji Marshall,DAL,SF,craftednba,2024-25
26,96.2,76.5,1.1 78%,P.J. Washington,DAL,PF,craftednba,2024-25
22,96.0,69.5,1.1 79%,Peyton Watson,DEN,SF,craftednba,2024-25
27,95.7,67.2,-1 20%,Lauri Markkanen,UTA,PF,craftednba,2024-25
30,95.5,73.7,3.9 100%,Alex Caruso,OKC,PG,craftednba,2024-25
28,95.3,62.0,2.3 95%,Dean Wade,CLE,PF,craftednba,2024-25
34,95.1,52.2,-0.7 34%,Torrey Craig,BOS,PF,craftednba,2024-25
23,94.8,45.1,0.1 50%,Jaime Jaquez Jr.,MIA,SF,craftednba,2024-25
31,94.6,67.4,0.7 77%,Javonte Green,CLE,SF,craftednba,2024-25
21,94.4,44.6,0.1 60%,Jabari Smith Jr.,HOU,PF,craftednba,2024-25
26,94.2,72.2,2.7 97%,Herbert Jones,NOP,SF,craftednba,2024-25
24,93.9,51.5,0.2 64%,Deni Avdija,POR,SF,craftednba,2024-25
24,93.7,35.5,-0.1 45%,Trendon Watford,BKN,PF,craftednba,2024-25
38,93.5,41.4,-1.2 10%,Jeff Green,HOU,PF,craftednba,2024-25
23,93.3,39.4,0 53%,Tosan Evbuomwan,BKN,SF,craftednba,2024-25
22,93.0,84.0,2.6 97%,Ausar Thompson,DET,SF,craftednba,2024-25
24,92.8,45.2,1.2 82%,Zeke Nnaji,DEN,PF,craftednba,2024-25
32,92.6,30.5,-0.3 41%,Anthony Gill,WAS,PF,craftednba,2024-25
20,92.4,36.7,-0.9 12%,Cam Whitmore,HOU,SF,craftednba,2024-25
24,92.2,94.3,1.9 92%,Toumani Camara,POR,PF,craftednba,2024-25
33,91.9,62.6,0.7 75%,Maxi Kleber,LAL,C,craftednba,2024-25
23,91.7,17.9,0.1 66%,Dillon Jones,OKC,SF,craftednba,2024-25
27,91.5,52.7,0.1 62%,John Collins,UTA,PF,craftednba,2024-25
20,91.3,44.2,-0.6 28%,Noah Clowney,BKN,PF,craftednba,2024-25
26,91.0,76.6,2 94%,Josh Okogie,CHA,SF,craftednba,2024-25
22,90.8,89.9,-0.1 54%,Ryan Dunn,PHX,PF,craftednba,2024-25
23,90.6,38.0,-0.6 28%,Tristan da Silva,ORL,PF,craftednba,2024-25
28,90.4,69.8,-0.7 22%,Jaylen Brown,BOS,SF,craftednba,2024-25
31,90.1,42.2,1.5 88%,Kyle Anderson,MIA,PF,craftednba,2024-25
28,89.9,51.0,1.2 81%,Ben Simmons,LAC,PF,craftednba,2024-25
