feature,mi_score
VALUE,2.812104403952157
NBA_FANTASY_PTS_RANK,0.7157609495819681
MIN_ADV,0.6853222085374551
WNBA_FANTASY_PTS,0.6710855259476256
FGM_RANK,0.6630726384311201
MIN_RANK_EFFICIENCY,0.6622820744492577
WNBA_FANTASY_PTS_RANK,0.6614537180602369
MIN,0.6589477778680086
MIN_RANK,0.6517497383645106
FGA_RANK,0.6461886510333565
NBA_FANTASY_PTS,0.6410551993412188
PTS_RANK,0.6368630050641331
PLAYER_POSS,0.6364785447034231
PTS,0.6247752420857067
USG%,0.6171846616447025
DD2_RANK,0.6151488156132148
OFFENSIVE_LOAD%,0.6079509093450595
SCORING_USAGE%,0.6077432771813687
TRUE_USAGE%,0.5934954764269031
FGA,0.592989644707119
FG,0.589152512734235
PTS_DEFENSE,0.5832735905395081
PFD_RANK,0.5713418283705112
2PA,0.5711973395786432
FTA_RANK,0.5628741010047262
MP,0.5594774822080009
MIN_HUSTLE,0.5590590392032277
FT,0.5543134576090996
2P,0.5478436866480134
DREB_RANK,0.5473472568245352
TOV_RANK,0.5470553940460343
DRB,0.5429338256611684
FTM_RANK,0.5392173188377276
FGA_DEFENSE,0.5358353273097558
FGM,0.5335535351534171
FTA,0.5268087712700247
TRB,0.5054136223124273
TURNOVER_USAGE%,0.5038495442626569
TOV,0.4912264546980456
REB_RANK,0.48811299996179347
AST_RANK,0.48688470228150926
PTS_PER_36,0.48497400943162994
FG3M_RANK,0.48033855309761275
E_USG_PCT_RANK,0.4732527838072187
BLKA_RANK,0.4730608376713752
3PA,0.4705922646010636
DEFLECTIONS,0.4590066666809651
FG3A_RANK,0.4555672716951227
STL_RANK,0.4535828934125252
OBPM,0.45139399348868015
CONTESTED_SHOTS,0.4510923510440694
PTS_PER_36_rollmean_3,0.447940884921298
AST,0.4477632076079532
FTA_DEFENSE,0.445730077867434
CONTESTED_SHOTS_3PT,0.44143772588619434
PF,0.43713426703189384
STL,0.43704927456033893
BPM,0.4348862826046753
PLAYMAKING_USAGE%,0.4288531113003833
VORP,0.4197673797067125
GS,0.4181899461358567
PER,0.4177123092026589
WS,0.41474894145190255
3P,0.4074180575423334
WS_rollmean_3,0.40683786768415775
REB,0.40302514539387335
OWS,0.40210297296295083
TOV_DEFENSE,0.3988456593183507
DREB,0.398097364421532
PFD,0.397791622746019
FTM,0.3948801546178733
FG3A,0.3947231817331991
AST_DEFENSE,0.3914878844618479
OFF_POSS_TRANSITION,0.37597849888303925
DWS,0.3514702891304906
PF_DEFENSE,0.32916058230733825
FG3M,0.32008736577659835
STL_DEFENSE,0.3063460569554488
OWS_BBREF,0.3014981745148262
OFF_POSS_MISC,0.2987972913105965
VORP_BBREF,0.29685930225134705
OFF_POSS_PRBALLHANDLER,0.2723863391265682
DEF_POSS_POSTUP,0.26958119263101166
BLKA,0.2618545882283385
BPM_BBREF,0.2606703337111371
DWS_BBREF,0.2555809706727259
OFF_POSS_ISOLATION,0.2411326497039301
OFF_EFG_PCT_ISOLATION,0.20974755436699954
OFF_PPP_ISOLATION,0.20755933435807172
DD2,0.2020056698983983
OFF_FG_PCT_ISOLATION,0.19620919053046126
DEF_POSS_PRROLLMAN,0.19575550062547187
OFF_FT_POSS_PCT_ISOLATION,0.19403284794847897
OFF_POSS_OFFSCREEN,0.15140237252036348
OFF_FT_POSS_PCT_OFFSCREEN,0.13202201331597818
OFF_POSS_POSTUP,0.13062572669397365
OFF_EFG_PCT_POSTUP,0.12361191590485632
OFF_FT_POSS_PCT_POSTUP,0.11404220956208899
OFF_PPP_POSTUP,0.1048161616503629
OFF_FG_PCT_POSTUP,0.10458125477703062
