feature,VIF
TRUE_USAGE%,203747.031789851
USG%,69319.30411083224
OFFENSIVE_LOAD%,44243.918448117875
SCORING_USAGE%,13538.03115003947
PLAYER_POSS,5279.641219385024
PTS,4373.453675009334
FGA,4285.039750344835
FG,3962.7361736881157
WNBA_FANTASY_PTS,3473.5766876131584
NBA_FANTASY_PTS,2288.3475605383073
WNBA_FANTASY_PTS_RANK,2065.617211553096
NBA_FANTASY_PTS_RANK,1386.9266482635712
PTS_DEFENSE,1297.6958478538108
PTS_RANK,1078.2413769368143
FGM,864.2905805450127
FGA_DEFENSE,744.6474533621566
MIN_ADV,732.4463671772478
FGM_RANK,659.3847016376823
MIN,572.4152502120155
TRB,375.50119447130703
2P,364.5991622524761
DRB,355.1056851287306
FGA_RANK,326.5355528543607
FT,297.5366863501704
FTA,246.03728851669496
2PA,244.05133897012624
MIN_RANK_EFFICIENCY,173.67394705495448
MIN_RANK,172.72038913994697
FTM_RANK,170.35038674135538
FTA_RANK,155.4295003490587
DREB_RANK,138.3077470037345
REB_RANK,136.1848852820158
TOV,130.24142961574492
FG3A_RANK,118.15163374801085
FG3M_RANK,105.90215350634811
TURNOVER_USAGE%,66.29164738874854
TOV_RANK,43.4705550808259
MP,36.99517946502445
PTS_PER_36,29.613427622255923
AST_RANK,27.842706078875448
E_USG_PCT_RANK,17.828951381180737
PFD_RANK,16.91729624885168
MIN_HUSTLE,11.363561920545006
DEFLECTIONS,11.11380502264066
3PA,10.065943787351447
OBPM,9.822352005945923
STL_RANK,6.8206436623634366
DD2_RANK,4.388636322810958
BLKA_RANK,4.03431722337879
VALUE,1.4018179277923961
