player_id,team_id,season,injury_start_date,injury_end_date,duration_days,reasoning,player_name,team_name
101108,1610612756,2021-22,2022-02-20,2022-03-24,32,placed on IL with fractured right thumb,Chris Paul,Suns
101108,1610612756,2022-23,2022-11-26,2023-04-16,34,placed on IL with sore right heel; placed on IL with sore right hip; placed on IL with rest,Chris Paul,Suns
101141,1610612741,2021-22,2021-12-28,2022-01-01,4,placed on IL with NBA health and safety protocols,Ersan Ilyasova,Bulls
116,1610612761,2021-22,2021-12-10,2022-03-20,36,placed on IL with strained left calf; placed on IL with NBA health and safety protocols; placed on IL with left knee injury; placed on IL with left knee injury,David Johnson (Ricardo),Raptors
1508,1610612758,2021-22,2021-11-30,2022-03-12,16,placed on IL with sore left knee; placed on IL with sprained right ankle; placed on IL with sprained right ankle,Maurice Harkless / Moe Harkless,Kings
1626145,1610612763,2021-22,2021-12-20,2022-04-04,18,placed on IL with finger injury; placed on IL with NBA health and safety protocols; placed on IL with sore left hand,Tyus Jones,Grizzlies
1626145,1610612763,2022-23,2023-03-29,2023-03-30,1,placed on IL with sore left foot,Tyus Jones,Grizzlies
1626147,1610612754,2021-22,2022-01-07,2022-01-11,4,placed on IL with NBA health and safety protocols,Justin Anderson,Pacers
1626149,1610612764,2021-22,2021-12-28,2022-01-10,13,placed on IL with NBA health and safety protocols,Montrezl Harrell,Wizards
1626153,1610612737,2021-22,2021-12-27,2022-01-01,5,placed on IL with NBA health and safety protocols,Delon Wright,Hawks
1626153,1610612764,2022-23,2022-10-27,2023-04-06,59,placed on IL with strained right hamstring; placed on IL with illness,Delon Wright,Wizards
1626156,1610612747,2022-23,2023-02-26,2023-04-05,12,placed on IL with sprained right ankle; placed on IL with sore left foot,D'Angelo Russell,Lakers
1626156,1610612750,2021-22,2021-11-02,2022-03-09,34,placed on IL with sprained right ankle; placed on IL with sore right ankle; placed on IL with NBA health and safety protocols; placed on IL with bruised left shin; placed on IL with hamstring injury,D'Angelo Russell,Timberwolves
1626156,1610612750,2022-23,2022-12-14,2022-12-18,4,placed on IL with bruised left knee,D'Angelo Russell,Timberwolves
1626157,1610612750,2021-22,2021-12-23,2022-01-05,13,placed on IL with NBA health and safety protocols,Karl-Anthony Towns,Timberwolves
1626157,1610612750,2022-23,2022-11-30,2023-03-22,112,placed on IL with strained right calf,Karl-Anthony Towns,Timberwolves
1626158,1610612758,2021-22,2021-11-24,2022-03-05,40,placed on IL with right eye injury; placed on IL with right eye injury; placed on IL with NBA health and safety protocols; placed on IL with sore back,Richaun Holmes,Kings
1626158,1610612758,2022-23,2022-11-17,2023-03-06,6,placed on IL with illness; placed on IL with illness,Richaun Holmes,Kings
1626159,1610612746,2021-22,2022-01-09,2022-01-17,8,placed on IL with NBA health and safety protocols,Justise Winslow,Clippers
1626159,1610612757,2021-22,2022-02-27,2022-03-16,17,placed on IL with sore right Achilles,Justise Winslow,Blazers
1626159,1610612757,2022-23,2022-11-12,2022-11-15,3,placed on IL with illness,Justise Winslow,Blazers
1626161,1610612742,2021-22,2021-11-29,2022-01-15,47,placed on IL with illness,Willie Cauley-Stein,Mavericks
1626162,1610612766,2021-22,2022-01-10,2022-01-19,9,placed on IL with NBA health and safety protocols,Kelly Oubre Jr.,Hornets
1626162,1610612766,2022-23,2022-12-27,2023-02-23,54,placed on IL with sprained left hand; placed on IL with sprained left hand,Kelly Oubre Jr.,Hornets
1626163,1610612745,2022-23,2023-03-24,2023-03-25,1,placed on IL with migraine headache,Frank Kaminsky,Rockets
1626163,1610612756,2021-22,2021-11-17,2022-04-07,141,placed on IL with sore right knee / stress reaction in right knee (surgery),Frank Kaminsky,Suns
1626164,1610612756,2021-22,2022-03-02,2022-03-09,7,placed on IL with NBA health and safety protocols,Devin Booker,Suns
1626164,1610612756,2022-23,2022-12-11,2023-02-06,47,placed on IL with left hamstring injury; placed on IL with groin injury; placed on IL with strained left groin,Devin Booker,Suns
1626166,1610612751,2021-22,2021-12-23,2021-12-29,6,placed on IL with NBA health and safety protocols,Cameron Thomas / Cam Thomas,Nets
1626166,1610612756,2021-22,2022-01-24,2022-03-02,37,placed on IL with sprained right wrist,Cameron Payne,Suns
1626166,1610612756,2022-23,2022-11-04,2023-04-25,79,placed on IL with left foot injury; placed on IL with right foot injury; placed on IL with sore right foot; placed on IL with sore lower back,Cameron Payne,Suns
1626167,1610612754,2021-22,2021-11-29,2021-12-01,2,placed on IL with illness,Myles Turner,Pacers
1626167,1610612754,2022-23,2022-12-05,2023-03-16,10,placed on IL with right hamstring injury; placed on IL with back spasms; placed on IL with sore lower back,Myles Turner,Pacers
1626168,1610612758,2022-23,2022-11-28,2023-03-20,7,placed on IL with illness; placed on IL with sore right shoulder,Trey Lyles,Kings
1626168,1610612765,2021-22,2021-12-25,2022-01-02,8,placed on IL with NBA health and safety protocols,Trey Lyles,Pistons
1626169,1610612741,2021-22,2021-12-11,2021-12-18,7,placed on IL with NBA health and safety protocols,Stanley Johnson,Bulls
1626171,1610612749,2021-22,2021-10-18,2021-12-24,18,placed on IL with strained left hamstring; placed on IL; placed on IL with NBA health and safety protocols,Bobby Portis,Bucks
1626171,1610612749,2022-23,2023-01-23,2023-02-23,31,placed on IL with sprained right knee,Bobby Portis,Bucks
1626174,1610612742,2022-23,2022-11-09,2023-02-06,19,placed on IL with sprained left knee; placed on IL; placed on IL with sprained right ankle; placed on IL with fractured left thumb,Christian Wood,Mavericks
1626174,1610612745,2021-22,2021-12-15,2022-03-12,9,placed on IL with left knee tendinitis; placed on IL with illness; placed on IL with illness,Christian Wood,Rockets
1626179,1610612766,2021-22,2021-10-20,2021-12-12,17,placed on IL with sprained left ankle; placed on IL with sprained right ankle; placed on IL with NBA health and safety protocols,Terry Rozier,Hornets
1626179,1610612766,2022-23,2022-10-23,2022-11-05,13,placed on IL with sprained right ankle,Terry Rozier,Hornets
1626181,1610612746,2021-22,2022-02-12,2022-04-06,53,placed on IL with fractured left foot,Norman Powell,Clippers
