Name () (71c),Pos () (71c),Team () (71c),Injury () (71d),Return Date () (71d),Date Injured () (71d)
Rudy Gobert,C,Minnesota Timberwolves,,,
Naz Reid,C,Minnesota Timberwolves,,,
Luka Garza,C,Minnesota Timberwolves,,,
Julius Randle,C,Minnesota Timberwolves,,,
Jesse Edwards,C,Minnesota Timberwolves,,,
Julius Randle,PF,Minnesota Timberwolves,,,
Naz Reid,PF,Minnesota Timberwolves,,,
Jaden McDaniels,PF,Minnesota Timberwolves,,,
Joe Ingles,PF,Minnesota Timberwolves,,,
Mike Conley,PG,Minnesota Timberwolves,,,
Donte DiVincenzo,PG,Minnesota Timberwolves,,,
Robert Dillingham,PG,Minnesota Timberwolves,Ankle,Probable,5/9/2025
Anthony Edwards,PG,Minnesota Timberwolves,,,
Bones Hyland,PG,Minnesota Timberwolves,,,
Tristen Newton,PG,Minnesota Timberwolves,,,
Jaden McDaniels,SF,Minnesota Timberwolves,,,
Terrence Shannon Jr.,SF,Minnesota Timberwolves,,,
Jaylen Clark,SF,Minnesota Timberwolves,,,
Nickeil Alexander-Walker,SF,Minnesota Timberwolves,,,
Donte DiVincenzo,SF,Minnesota Timberwolves,,,
Joe Ingles,SF,Minnesota Timberwolves,,,
Josh Minott,SF,Minnesota Timberwolves,,,
Anthony Edwards,SF,Minnesota Timberwolves,,,
Anthony Edwards,SG,Minnesota Timberwolves,,,
Nickeil Alexander-Walker,SG,Minnesota Timberwolves,,,
Donte DiVincenzo,SG,Minnesota Timberwolves,,,
Terrence Shannon Jr.,SG,Minnesota Timberwolves,,,
Jaylen Clark,SG,Minnesota Timberwolves,,,
Joe Ingles,SG,Minnesota Timberwolves,,,
Josh Minott,SG,Minnesota Timberwolves,,,
Bones Hyland,SG,Minnesota Timberwolves,,,
Tristen Newton,SG,Minnesota Timberwolves,,,
Myles Turner,C,Indiana Pacers,,,
Obi Toppin,C,Indiana Pacers,,,
Tony Bradley,C,Indiana Pacers,,,
Thomas Bryant,C,Indiana Pacers,,,
Pascal Siakam,C,Indiana Pacers,,,
James Johnson,C,Indiana Pacers,,,
Jarace Walker,C,Indiana Pacers,Ankle,Out|Expected To Be Out Until At Least Oct 1,6/21/2025
Isaiah Jackson,C,Indiana Pacers,Achilles,Out|Expected To Be Out Until At Least Oct 1,11/2/2025
Enrique Freeman,C,Indiana Pacers,,,
Pascal Siakam,PF,Indiana Pacers,,,
Jarace Walker,PF,Indiana Pacers,Ankle,Out|Expected To Be Out Until At Least Oct 1,6/21/2025
Obi Toppin,PF,Indiana Pacers,,,
Aaron Nesmith,PF,Indiana Pacers,,,
James Johnson,PF,Indiana Pacers,,,
Enrique Freeman,PF,Indiana Pacers,,,
Tyrese Haliburton,PG,Indiana Pacers,Calf,Out|Expected To Be Out Until At Least Jun 22,6/21/2025
T.J. McConnell,PG,Indiana Pacers,,,
Andrew Nembhard,PG,Indiana Pacers,,,
Ben Sheppard,PG,Indiana Pacers,,,
RayJ Dennis,PG,Indiana Pacers,,,
Quenton Jackson,PG,Indiana Pacers,,,
Aaron Nesmith,SF,Indiana Pacers,,,
Bennedict Mathurin,SF,Indiana Pacers,,,
Jarace Walker,SF,Indiana Pacers,Ankle,Out|Expected To Be Out Until At Least Oct 1,6/21/2025
Johnny Furphy,SF,Indiana Pacers,,,
Ben Sheppard,SF,Indiana Pacers,,,
Pascal Siakam,SF,Indiana Pacers,,,
Quenton Jackson,SF,Indiana Pacers,,,
Andrew Nembhard,SG,Indiana Pacers,,,
Ben Sheppard,SG,Indiana Pacers,,,
Bennedict Mathurin,SG,Indiana Pacers,,,
Johnny Furphy,SG,Indiana Pacers,,,
Tyrese Haliburton,SG,Indiana Pacers,Calf,Out|Expected To Be Out Until At Least Jun 22,6/21/2025
Aaron Nesmith,SG,Indiana Pacers,,,
Quenton Jackson,SG,Indiana Pacers,,,
Walker Kessler,C,Utah Jazz,Concussion,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Oscar Tshiebwe,C,Utah Jazz,,,
Kyle Filipowski,C,Utah Jazz,,,
Micah Potter,C,Utah Jazz,,,
John Collins,C,Utah Jazz,Ankle,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Taylor Hendricks,C,Utah Jazz,Lower Leg,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Kyle Filipowski,PF,Utah Jazz,,,
KJ Martin Jr.,PF,Utah Jazz,,,
Micah Potter,PF,Utah Jazz,,,
Brice Sensabaugh,PF,Utah Jazz,,,
Lauri Markkanen,PF,Utah Jazz,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
John Collins,PF,Utah Jazz,Ankle,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Taylor Hendricks,PF,Utah Jazz,Lower Leg,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
