AGE_x,MP,PLAYER_NAME,PLUSMINUS,LT_06_PCT,FREQ,TEAM_ABBREVIATION_x,season,source_x,POSITION_x,AGE_y,DLEBRON,DDRIP,DDARKO,DBPM,CraftedDPM_x,TEAM_ABBREVIATION_y,source_y,POSITION_y,AGE,VersatilityRating,MatchupDifficulty,CraftedDPM_y,TEAM_ABBREVIATION,POSITION,source
,,A.J. Lawson,,,,,2023-24,,,,,,,,,,,,24,39.5,22.8,-0.3 42%,TOR,SG,craftednba
,,AJ Green,,,,,2023-24,,,,,,,,,,,,25,44.6,51.1,0 67%,MIL,SG,craftednba
,,AJ Johnson,,,,,2023-24,,,,,,,,,,,,20,24.7,29.6,-0.8 11%,WAS,SG,craftednba
,,Aaron Gordon,,,,,2023-24,,,,,,,,,,,,29,85.4,64.6,0.5 69%,DEN,PF,craftednba
,,Aaron Holiday,,,,,2023-24,,,,,,,,,,,,28,27.4,49.2,0.6 70%,HOU,PG,craftednba
25.0,1123.0,Aaron Nesmith,-11.2%,50.3%,32.4%,IND,2023-24,craftednba,SF,,,,,,,,,,25,55.2,61.4,-0.4 38%,IND,SF,craftednba
,,Aaron Wiggins,,,,,2023-24,,,,,,,,,,,,26,83.4,42.7,-0.2 43%,OKC,SG,craftednba
,,Adem Bona,,,,,2023-24,,,,,,,,,,,,21,15.7,35.2,0.7 78%,PHI,C,craftednba
,,Ajay Mitchell,,,,,2023-24,,,,,,,,,,,,22,46.9,33.3,0.4 68%,OKC,SG,craftednba
,,Al Horford,,,,,2023-24,,,38.0,1.2,0.9,1.9,1.1,2.2 94%,BOS,craftednba,C,38,76.9,61.4,2.2 94%,BOS,C,craftednba
,,Alec Burks,,,,,2023-24,,,,,,,,,,,,33,32.5,38.4,0.2 60%,MIA,SG,craftednba
,,Alex Caruso,,,,,2023-24,,,30.0,1.6,2.0,2.3,3.9,3.9 100%,OKC,craftednba,PG,30,95.5,73.7,3.9 100%,OKC,PG,craftednba
,,Alex Len,,,,,2023-24,,,,,,,,,,,,31,2.7,26.2,1.1 80%,LAL,C,craftednba
,,Alex Sarr,,,,,2023-24,,,,,,,,,,,,19,4.3,55.5,-0.3 36%,WAS,PF,craftednba
,,Alperen Sengun,,,,,2023-24,,,,,,,,,,,,22,26.5,40.5,1.4 84%,HOU,C,craftednba
22.0,2225.0,Amen Thompson,-9.7%,52.9%,35.7%,HOU,2023-24,craftednba,SF,22.0,1.8,2.3,1.1,2.6,2.4 98%,HOU,craftednba,SF,22,74.4,84.1,2.4 98%,HOU,SF,craftednba
,,Amir Coffey,,,,,2023-24,,,,,,,,,,,,27,51.3,55.7,-1.2 11%,LAC,SF,craftednba
,,Andre Drummond,,,,,2023-24,,,,,,,,,,,,31,2.9,45.2,0.4 69%,PHI,C,craftednba
,,Andre Jackson Jr.,,,,,2023-24,,,,,,,,,,,,23,40.4,92.7,0 42%,MIL,SF,craftednba
,,Andrew Nembhard,,,,,2023-24,,,,,,,,,,,,25,17.0,100.0,0.6 71%,IND,PG,craftednba
,,Andrew Wiggins,,,,,2023-24,,,,,,,,,,,,29,73.5,84.3,-0.5 36%,MIA,SF,craftednba
,,Anfernee Simons,,,,,2023-24,,,,,,,,,,,,25,44.2,43.3,-2.4 2%,POR,PG,craftednba
,,Anthony Black,,,,,2023-24,,,,,,,,,,,,21,48.9,63.1,1.2 85%,ORL,PG,craftednba
31.0,1706.0,Anthony Davis,-11.9%,52.6%,38.7%,DAL,2023-24,craftednba,C,31.0,1.6,1.6,2.0,1.5,3.1 98%,DAL,craftednba,C,31,12.6,56.4,3.1 98%,DAL,C,craftednba
,,Anthony Edwards,,,,,2023-24,,,,,,,,,,,,23,79.1,55.3,0 58%,MIN,SG,craftednba
,,Anthony Gill,,,,,2023-24,,,,,,,,,,,,32,92.6,30.5,-0.3 41%,WAS,PF,craftednba
,,Antonio Reeves,,,,,2023-24,,,,,,,,,,,,24,33.9,25.1,-1.4 9%,NOP,SG,craftednba
22.0,1328.0,Ausar Thompson,-9.6%,53.9%,32.7%,DET,2023-24,craftednba,SF,22.0,1.6,2.3,1.2,2.5,2.6 97%,DET,craftednba,SF,22,93.0,84.0,2.6 97%,DET,SF,craftednba
,,Austin Reaves,,,,,2023-24,,,,,,,,,,,,26,52.5,62.1,-1 17%,LAL,SG,craftednba
,,Ayo Dosunmu,,,,,2023-24,,,,,,,,,,,,25,34.5,79.2,-1 15%,CHI,SG,craftednba
,,Bam Adebayo,,,,,2023-24,,,27.0,1.2,1.7,1.4,1.0,2 93%,MIA,craftednba,C,27,13.9,60.6,2 93%,MIA,C,craftednba
,,Baylor Scheierman,,,,,2023-24,,,,,,,,,,,,24,50.2,15.3,-0.1 57%,BOS,SG,craftednba
,,Ben Sheppard,,,,,2023-24,,,,,,,,,,,,23,20.2,69.3,-0.6 35%,IND,SG,craftednba
,,Ben Simmons,,,,,2023-24,,,,,,,,,,,,28,89.9,51.0,1.2 81%,LAC,PF,craftednba
,,Bennedict Mathurin,,,,,2023-24,,,,,,,,,,,,22,43.9,53.2,-1.5 8%,IND,SF,craftednba
,,Bilal Coulibaly,,,,,2023-24,,,,,,,,,,,,20,75.1,96.2,-0.9 21%,WAS,SF,craftednba
,,Bismack Biyombo,,,,,2023-24,,,,,,,,,,,,32,1.6,28.6,0.9 80%,SAS,C,craftednba
,,Blake Wesley,,,,,2023-24,,,,,,,,,,,,21,25.8,44.7,0.4 64%,SAS,PG,craftednba
,,Bobby Portis,,,,,2023-24,,,,,,,,,,,,29,37.4,39.1,-0.1 47%,MIL,PF,craftednba
,,Bogdan Bogdanović,,,,,2023-24,,,,,,,,,,,,32,47.5,39.4,-0.1 54%,LAC,SG,craftednba
,,Bol Bol,,,,,2023-24,,,,,,,,,,,,25,64.3,28.8,0.4 66%,PHX,C,craftednba
,,Bradley Beal,,,,,2023-24,,,,,,,,,,,,31,53.6,82.3,-1.6 9%,PHX,SG,craftednba
,,Brandin Podziemski,,,,,2023-24,,,,,,,,,,,,21,59.2,59.3,1.7 89%,GSW,SG,craftednba
,,Brandon Boston Jr.,,,,,2023-24,,,,,,,,,,,,23,55.8,69.0,-0.7 26%,NOP,SG,craftednba
28.0,1207.0,Brandon Clarke,-10.7%,52.1%,38.9%,MEM,2023-24,craftednba,PF,,,,,,,,,,28,65.9,41.5,1.4 86%,MEM,PF,craftednba
,,Brandon Ingram,,,,,2023-24,,,,,,,,,,,,27,52.2,46.4,-0.7 25%,TOR,SF,craftednba
22.0,924.0,Brandon Miller,-8.6%,54.7%,41.1%,CHA,2023-24,craftednba,SF,,,,,,,,,,22,46.6,52.3,-1.2 14%,CHA,SF,craftednba
,,Brandon Williams,,,,,2023-24,,,,,,,,,,,,25,23.3,48.5,-0.7 26%,DAL,PG,craftednba
,,Brice Sensabaugh,,,,,2023-24,,,,,,,,,,,,21,66.6,34.8,-2.7 1%,UTA,SF,craftednba
,,Brook Lopez,,,,,2023-24,,,36.0,0.9,0.9,2.7,0.4,2.7 96%,MIL,craftednba,C,36,6.5,48.9,2.7 96%,MIL,C,craftednba
,,Bruce Brown,,,,,2023-24,,,,,,,,,,,,28,77.1,57.1,-0.8 24%,NOP,SG,craftednba
,,Bub Carrington,,,,,2023-24,,,,,,,,,,,,19,34.1,58.8,-0.4 35%,WAS,SG,craftednba
,,Buddy Hield,,,,,2023-24,,,,,,,,,,,,31,60.8,49.3,-0.7 27%,GSW,SG,craftednba
