column,min,max,negatives,zeros,non_zero_pct,should_be_non_negative,violates_non_negative
Age,19.0,40.0,0,0,100.0,False,False
GP,1.0,82.0,0,0,100.0,True,False
GS,0.0,82.0,0,138,75.13513513513513,False,False
MP,10.0,3036.0,0,0,100.0,True,False
PTS,0.0,2484.0,0,2,99.63963963963964,True,False
FG,0.0,860.0,0,5,99.09909909909909,False,False
FGA,1.0,1656.0,0,0,100.0,False,False
3P,0.0,320.0,0,70,87.38738738738739,False,False
3PA,0.0,811.0,0,26,95.31531531531532,False,False
FT,0.0,601.0,0,22,96.03603603603604,False,False
FTA,0.0,707.0,0,19,96.57657657657657,False,False
TRB,0.0,1010.0,0,1,99.81981981981981,True,False
AST,0.0,880.0,0,10,98.1981981981982,True,False
STL,0.0,229.0,0,25,95.49549549549549,False,False
BLK,0.0,176.0,0,47,91.53153153153153,False,False
TOV,0.0,355.0,0,12,97.83783783783784,False,False
PF,0.0,257.0,0,9,98.37837837837837,False,False
ORB,0.0,300.0,0,16,97.11711711711712,False,False
DRB,0.0,710.0,0,3,99.45945945945945,False,False
TeamID,0.0,1610612766.0,0,35,93.69369369369369,False,False
Years_of_Service,0.0,22.0,0,11,98.01801801801801,False,False
2P,0.0,779.0,0,10,98.1981981981982,False,False
2PA,0.0,1256.0,0,5,99.09909909909909,False,False
eFG%,0.0,100.0,0,5,99.09909909909909,False,False
2P%,0.0,100.0,0,5,99.09909909909909,False,False
PER,-10.7,30.7,9,1,99.81981981981981,False,False
TS%,0.0,106.38,0,2,99.63963963963964,False,False
ORB%,0.0,26.3,0,13,97.65765765765765,False,False
DRB%,0.0,33.6,0,1,99.81981981981981,False,False
TRB%,0.0,25.8,0,1,99.81981981981981,False,False
AST%,0.0,46.4,0,8,98.55855855855856,False,False
STL%,0.0,8.8,0,20,96.3963963963964,False,False
BLK%,0.0,10.4,0,37,93.33333333333333,False,False
TOV%,0.0,68.0,0,8,98.55855855855856,False,False
USG%,6.0,35.9,0,0,100.0,False,False
OWS,-2.3,11.9,97,43,92.25225225225225,False,False
DWS,-0.1,4.8,1,41,92.61261261261261,False,False
WS,-1.2,16.7,44,25,95.49549549549549,False,False
WS/48,-0.47,0.31,53,7,98.73873873873873,False,False
OBPM,-16.8,8.9,352,15,97.29729729729729,False,False
DBPM,-9.2,6.5,281,15,97.29729729729729,False,False
BPM,-24.9,11.5,337,8,98.55855855855856,False,False
VORP,-1.6,8.9,162,66,88.10810810810811,False,False
Wins,17.0,68.0,0,0,100.0,False,False
Losses,14.0,65.0,0,0,100.0,False,False
Total_Days_Injured,0.0,0.0,0,555,0.0,False,False
FG%,0.0,100.0,0,5,99.09909909909909,False,False
3P%,0.0,100.0,0,44,92.07207207207207,False,False
FT%,0.0,100.0,0,3,99.45945945945945,False,False
PTS_per_36,0.0,34.42,0,2,99.63963963963964,False,False
AST_per_36,0.0,11.57,0,10,98.1981981981982,False,False
TRB_per_36,0.0,17.22,0,1,99.81981981981981,False,False
Tm_FGA,5963.0,7646.0,0,0,100.0,False,False
Tm_FTA,1491.0,1909.0,0,0,100.0,False,False
Tm_TOV,888.0,1326.0,0,0,100.0,False,False
Tm_FG,2840.0,3724.0,0,0,100.0,False,False
Tm_ORB,611.0,1200.0,0,0,100.0,False,False
Tm_DRB,2147.0,2832.0,0,0,100.0,False,False
Tm_TRB,2931.0,3969.0,0,0,100.0,False,False
Tm_MP,16689.0,19855.0,0,0,100.0,False,False
Tm_AST,1583.0,2542.0,0,0,100.0,False,False
Team_Poss,7547.96,9678.24,0,0,100.0,False,False
Player_Poss,2.0,2133.36,0,0,100.0,False,False
Scoring_Usage%,0.02,21.11,0,0,100.0,False,False
Turnover_Usage%,0.0,4.12,0,12,97.83783783783784,False,False
Playmaking_Usage%,0.0,3.78,0,22,96.03603603603604,False,False
True_Usage%,0.03,26.72,0,0,100.0,False,False
Offensive_Load%,0.05,33.14,0,0,100.0,False,False
Salary Cap,140588000.0,140588000.0,0,0,100.0,False,False
Luxury Tax,170814000.0,170814000.0,0,0,100.0,False,False
1st Apron,178132000.0,178132000.0,0,0,100.0,False,False
2nd Apron,188931000.0,188931000.0,0,0,100.0,False,False
BAE,4668000.0,4668000.0,0,0,100.0,False,False
Non-Taxpayer MLE,12822000.0,12822000.0,0,0,100.0,False,False
Taxpayer MLE,5168000.0,5168000.0,0,0,100.0,False,False
Team Room MLE,7983000.0,7983000.0,0,0,100.0,False,False
Salary_Cap_Inflated,140588000.0,140588000.0,0,0,100.0,False,False
