Service,season,minimum_contract_value
0,1995-96,200000
1,1995-96,225000
2,1995-96,225000
3,1995-96,225000
4,1995-96,225000
5,1995-96,225000
6,1995-96,225000
7,1995-96,225000
8,1995-96,225000
9,1995-96,225000
10+,1995-96,225000
0,1996-97,220000
1,1996-97,247500
2,1996-97,247500
3,1996-97,247500
4,1996-97,247500
5,1996-97,247500
6,1996-97,247500
7,1996-97,247500
8,1996-97,247500
9,1996-97,247500
10+,1996-97,247500
0,1997-98,242000
1,1997-98,272250
2,1997-98,272250
3,1997-98,272250
4,1997-98,272250
5,1997-98,272250
6,1997-98,272250
7,1997-98,272250
8,1997-98,272250
9,1997-98,272250
10+,1997-98,272250
0,1998-99,287500
1,1998-99,350000
2,1998-99,425000
3,1998-99,450000
4,1998-99,475000
5,1998-99,500000
6,1998-99,500000
7,1998-99,500000
8,1998-99,500000
9,1998-99,500000
10+,1998-99,500000
0,1999-00,301875
1,1999-00,385000
2,1999-00,460000
3,1999-00,485000
4,1999-00,510000
5,1999-00,572500
6,1999-00,635000
7,1999-00,697500
8,1999-00,760000
9,1999-00,885000
10+,1999-00,1000000
0,2000-01,316969
1,2000-01,423500
2,2000-01,498500
3,2000-01,523500
4,2000-01,548500
5,2000-01,611000
6,2000-01,673500
7,2000-01,736000
8,2000-01,798500
9,2000-01,923500
10+,2000-01,1000000
0,2001-02,332817
1,2001-02,465850
2,2001-02,540850
3,2001-02,565850
4,2001-02,590850
5,2001-02,653350
6,2001-02,715850
7,2001-02,778350
8,2001-02,840850
9,2001-02,965850
10+,2001-02,1000000
0,2002-03,349458
1,2002-03,512435
2,2002-03,587435
3,2002-03,612435
4,2002-03,637435
5,2002-03,699935
6,2002-03,762435
7,2002-03,824935
8,2002-03,887435
9,2002-03,1000000
10+,2002-03,1030000
0,2003-04,366931
1,2003-04,563679
2,2003-04,638679
3,2003-04,663679
4,2003-04,688679
5,2003-04,751179
6,2003-04,813679
7,2003-04,876179
8,2003-04,938679
9,2003-04,1000000
10+,2003-04,1070000
0,2004-05,385277
1,2004-05,620046
2,2004-05,695046
3,2004-05,720046
4,2004-05,745046
5,2004-05,807546
6,2004-05,870046
7,2004-05,932546
8,2004-05,995046
9,2004-05,1000000
10+,2004-05,1100000
0,2005-06,398762
1,2005-06,641748
2,2005-06,719373
3,2005-06,745248
4,2005-06,771123
5,2005-06,835810
6,2005-06,900498
7,2005-06,965185
8,2005-06,1029873
9,2005-06,1035000
10+,2005-06,1138500
0,2006-07,412718
1,2006-07,664209
2,2006-07,744551
3,2006-07,771331
4,2006-07,798112
5,2006-07,865063
6,2006-07,932015
7,2006-07,998967
8,2006-07,1065918
9,2006-07,1071225
10+,2006-07,1178348
0,2007-08,427163
1,2007-08,687456
2,2007-08,770610
3,2007-08,798328
4,2007-08,826046
5,2007-08,895341
6,2007-08,964636
7,2007-08,1033930
8,2007-08,1103225
9,2007-08,1108718
10+,2007-08,1219590
0,2008-09,442114
1,2008-09,711517
2,2008-09,797581
3,2008-09,826269
4,2008-09,854957
5,2008-09,926678
6,2008-09,998398
7,2008-09,1070118
8,2008-09,1141838
9,2008-09,1147523
10+,2008-09,1262275
0,2009-10,457588
1,2009-10,736420
2,2009-10,825497
3,2009-10,855189
4,2009-10,884881
5,2009-10,959111
6,2009-10,1033342
7,2009-10,1107572
8,2009-10,1181803
9,2009-10,1187686
10+,2009-10,1306455
0,2010-11,473604
1,2010-11,762195
2,2010-11,854389
3,2010-11,885120
4,2010-11,915852
5,2010-11,992680
6,2010-11,1069509
7,2010-11,1146337
8,2010-11,1223166
9,2010-11,1229255
10+,2010-11,1352181
0,2011-12,473604
1,2011-12,762195
2,2011-12,854389
3,2011-12,885120
