CBA_PERIOD,MAX_PERCENTAGE_OF_CAP,YEAR,MAXIMUM_CONTRACT_SALARY,SEASON,YEARS_OF_SERVICE
2005_2010_2005_cba,0.25,2010,13603750,2010-11,0
2005_2010_2005_cba,0.25,2010,13603750,2010-11,1
2005_2010_2005_cba,0.25,2010,13603750,2010-11,2
2005_2010_2005_cba,0.25,2010,13603750,2010-11,3
2005_2010_2005_cba,0.25,2010,13603750,2010-11,4
2005_2010_2005_cba,0.25,2010,13603750,2010-11,5
2005_2010_2005_cba,0.25,2010,13603750,2010-11,6
2005_2010_2005_cba,0.3,2010,16324500,2010-11,7
2005_2010_2005_cba,0.3,2010,16324500,2010-11,8
2005_2010_2005_cba,0.3,2010,16324500,2010-11,9
2005_2010_2005_cba,0.35,2010,19045250,2010-11,10
2005_2010_2005_cba,0.35,2010,19045250,2010-11,11
2005_2010_2005_cba,0.35,2010,19045250,2010-11,12
2005_2010_2005_cba,0.35,2010,19045250,2010-11,13
2005_2010_2005_cba,0.35,2010,19045250,2010-11,14
2005_2010_2005_cba,0.35,2010,19045250,2010-11,15
2005_2010_2005_cba,0.35,2010,19045250,2010-11,16
2005_2010_2005_cba,0.35,2010,19045250,2010-11,17
2005_2010_2005_cba,0.35,2010,19045250,2010-11,18
2005_2010_2005_cba,0.35,2010,19045250,2010-11,19
2005_2010_2005_cba,0.35,2010,19045250,2010-11,20
2005_2010_2005_cba,0.35,2010,19045250,2010-11,21
2005_2010_2005_cba,0.35,2010,19045250,2010-11,22
2005_2010_2005_cba,0.35,2010,19045250,2010-11,23
2005_2010_2005_cba,0.35,2010,19045250,2010-11,24
2005_2010_2005_cba,0.35,2010,19045250,2010-11,25
2011_2016_2011_cba,0.25,2011,12922194,2011-12,0
2011_2016_2011_cba,0.25,2011,12922194,2011-12,1
2011_2016_2011_cba,0.25,2011,12922194,2011-12,2
2011_2016_2011_cba,0.25,2011,12922194,2011-12,3
2011_2016_2011_cba,0.25,2011,12922194,2011-12,4
2011_2016_2011_cba,0.25,2011,12922194,2011-12,5
2011_2016_2011_cba,0.25,2011,12922194,2011-12,6
2011_2016_2011_cba,0.3,2011,15506632,2011-12,7
2011_2016_2011_cba,0.3,2011,15506632,2011-12,8
2011_2016_2011_cba,0.3,2011,15506632,2011-12,9
2011_2016_2011_cba,0.35,2011,18091071,2011-12,10
2011_2016_2011_cba,0.35,2011,18091071,2011-12,11
2011_2016_2011_cba,0.35,2011,18091071,2011-12,12
2011_2016_2011_cba,0.35,2011,18091071,2011-12,13
2011_2016_2011_cba,0.35,2011,18091071,2011-12,14
2011_2016_2011_cba,0.35,2011,18091071,2011-12,15
2011_2016_2011_cba,0.35,2011,18091071,2011-12,16
2011_2016_2011_cba,0.35,2011,18091071,2011-12,17
2011_2016_2011_cba,0.35,2011,18091071,2011-12,18
2011_2016_2011_cba,0.35,2011,18091071,2011-12,19
2011_2016_2011_cba,0.35,2011,18091071,2011-12,20
2011_2016_2011_cba,0.35,2011,18091071,2011-12,21
2011_2016_2011_cba,0.35,2011,18091071,2011-12,22
2011_2016_2011_cba,0.35,2011,18091071,2011-12,23
2011_2016_2011_cba,0.35,2011,18091071,2011-12,24
2011_2016_2011_cba,0.35,2011,18091071,2011-12,25
2011_2016_2011_cba,0.25,2012,13668750,2012-13,0
2011_2016_2011_cba,0.25,2012,13668750,2012-13,1
2011_2016_2011_cba,0.25,2012,13668750,2012-13,2
2011_2016_2011_cba,0.25,2012,13668750,2012-13,3
2011_2016_2011_cba,0.25,2012,13668750,2012-13,4
2011_2016_2011_cba,0.25,2012,13668750,2012-13,5
2011_2016_2011_cba,0.25,2012,13668750,2012-13,6
2011_2016_2011_cba,0.3,2012,16402500,2012-13,7
2011_2016_2011_cba,0.3,2012,16402500,2012-13,8
2011_2016_2011_cba,0.3,2012,16402500,2012-13,9
2011_2016_2011_cba,0.35,2012,19136250,2012-13,10
2011_2016_2011_cba,0.35,2012,19136250,2012-13,11
2011_2016_2011_cba,0.35,2012,19136250,2012-13,12
2011_2016_2011_cba,0.35,2012,19136250,2012-13,13
2011_2016_2011_cba,0.35,2012,19136250,2012-13,14
2011_2016_2011_cba,0.35,2012,19136250,2012-13,15
2011_2016_2011_cba,0.35,2012,19136250,2012-13,16
2011_2016_2011_cba,0.35,2012,19136250,2012-13,17
